text,intent,language,source
show my appointments,VIEW_APPOINTMENTS,en,seed_manual
i want to see my appointments,VIEW_APPOINTMENTS,en,seed_manual
when is my next appointment,VIEW_APPOINTMENTS,en,seed_manual
list my bookings please,VIEW_APPOINTMENTS,en,seed_manual
do i have any appointment today,VIEW_APPOINTMENTS,en,seed_manual
send me my schedule,VIEW_APPOINTMENTS,en,seed_manual
my appointments pls,VIEW_APPOINTMENTS,en,seed_manual
appointment details please,VIEW_APPOINTMENTS,en,seed_manual
what time is my appointment,VIEW_APPOINTMENTS,en,seed_manual
can u check my booking,VIEW_APPOINTMENTS,en,seed_manual
متى موعدي,VIEW_APPOINTMENTS,ar_msa,seed_manual
أريد معرفة مواعيدي,VIEW_APPOINTMENTS,ar_msa,seed_manual
هل لدي موعد اليوم,VIEW_APPOINTMENTS,ar_msa,seed_manual
اعرض مواعيدي القادمة,VIEW_APPOINTMENTS,ar_msa,seed_manual
تفاصيل موعدي من فضلك,VIEW_APPOINTMENTS,ar_msa,seed_manual
ابي اشوف مواعيدي,VIEW_APPOINTMENTS,ar_gulf,seed_manual
وش موعدي,VIEW_APPOINTMENTS,ar_gulf,seed_manual
عندي موعد اليوم؟,VIEW_APPOINTMENTS,ar_gulf,seed_manual
وريني مواعيدي,VIEW_APPOINTMENTS,ar_gulf,seed_manual
متى حجزي؟,VIEW_APPOINTMENTS,ar_gulf,seed_manual
i had pain in my teeth please i want to get an appointment asap,BOOK_APPOINTMENT,en,seed_manual
i need a dentist appointment urgently,BOOK_APPOINTMENT,en,seed_manual
book me for dental cleaning,BOOK_APPOINTMENT,en,seed_manual
i want new appointment tomorrow,BOOK_APPOINTMENT,en,seed_manual
can i get a slot today,BOOK_APPOINTMENT,en,seed_manual
any free slots for tooth pain,BOOK_APPOINTMENT,en,seed_manual
need appointment asap pls,BOOK_APPOINTMENT,en,seed_manual
book consultation with doctor,BOOK_APPOINTMENT,en,seed_manual
my tooth hurts need doctor,BOOK_APPOINTMENT,en,seed_manual
available dentist today?,BOOK_APPOINTMENT,en,seed_manual
أحتاج موعد أسنان اليوم,BOOK_APPOINTMENT,ar_msa,seed_manual
لدي ألم في السن وأريد موعدا,BOOK_APPOINTMENT,ar_msa,seed_manual
أريد حجز موعد قريب,BOOK_APPOINTMENT,ar_msa,seed_manual
هل يوجد موعد متاح غدا؟,BOOK_APPOINTMENT,ar_msa,seed_manual
أحتاج طبيب أسنان عاجلا,BOOK_APPOINTMENT,ar_msa,seed_manual
ابي موعد ضرسي يعورني,BOOK_APPOINTMENT,ar_gulf,seed_manual
عندي الم في الاسنان ابغى موعد,BOOK_APPOINTMENT,ar_gulf,seed_manual
احجز لي موعد اليوم,BOOK_APPOINTMENT,ar_gulf,seed_manual
فيه موعد قريب؟,BOOK_APPOINTMENT,ar_gulf,seed_manual
ابغى دكتور اسنان ضروري,BOOK_APPOINTMENT,ar_gulf,seed_manual
cancel my appointment,CANCEL_APPOINTMENT,en,seed_manual
i want to cancel,CANCEL_APPOINTMENT,en,seed_manual
please cancel tomorrow appointment,CANCEL_APPOINTMENT,en,seed_manual
i cannot come cancel it,CANCEL_APPOINTMENT,en,seed_manual
remove my booking,CANCEL_APPOINTMENT,en,seed_manual
not coming today cancel,CANCEL_APPOINTMENT,en,seed_manual
cant make it please cancel,CANCEL_APPOINTMENT,en,seed_manual
cancel appt pls,CANCEL_APPOINTMENT,en,seed_manual
i need to cancel my visit,CANCEL_APPOINTMENT,en,seed_manual
delete my appointment,CANCEL_APPOINTMENT,en,seed_manual
أريد إلغاء الموعد,CANCEL_APPOINTMENT,ar_msa,seed_manual
لا أستطيع الحضور ألغ الموعد,CANCEL_APPOINTMENT,ar_msa,seed_manual
الرجاء إلغاء الحجز,CANCEL_APPOINTMENT,ar_msa,seed_manual
لن أحضر الموعد,CANCEL_APPOINTMENT,ar_msa,seed_manual
ألغ موعدي من فضلك,CANCEL_APPOINTMENT,ar_msa,seed_manual
ابي الغي موعدي,CANCEL_APPOINTMENT,ar_gulf,seed_manual
ما اقدر اجي الغي الموعد,CANCEL_APPOINTMENT,ar_gulf,seed_manual
